
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.90e-03  5.86e-01    0.0    0.0    0.0
   1   1  1.00e+00  2.68e-02  2.44e-04  5.78e-01    0.0    0.0    0.0
   2   1  1.00e+00  6.07e-03  9.28e-06  5.76e-01    0.0    0.0    0.0
   3   3  2.50e-01  1.37e-02  8.30e-06  5.76e-01    0.0    0.0    0.0
   4   3  2.50e-01  1.14e-02  7.20e-06  5.75e-01    0.0    0.0    0.0
   5   2  5.00e-01  9.56e-03  6.57e-06  5.74e-01    0.0    0.0    0.0
   6   1  1.00e+00  6.07e-03  5.01e-06  5.73e-01    0.0    0.0    0.0
   7   1  1.00e+00  1.59e-03  3.18e-07  5.73e-01    0.0    0.0    0.0
   8   1  1.00e+00  3.74e-04  1.82e-08  5.73e-01    0.0    0.0    0.0
   9   1  1.00e+00  6.45e-06  5.20e-12  5.73e-01    0.0    0.0    0.0
  10   1  1.00e+00  6.03e-09  5.63e-18  5.73e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.7280e-01      1  EP      3.1416e-01   3.1416e-02
  144  00:00:00   4.2958e-01      2  UZ      2.3562e-01   3.1416e-02
  288  00:00:01   2.8634e-01      3  UZ      1.5708e-01   3.1416e-02
  433  00:00:02   1.4315e-01      4  UZ      7.8540e-02   3.1416e-02
  493  00:00:02   9.1001e-02      5  SN      4.9318e-02   3.1416e-02
  493  00:00:02   9.1034e-02      6  FP      4.9308e-02   3.1416e-02
  558  00:00:03   1.4642e-01      7  UZ      7.8540e-02   3.1416e-02
  705  00:00:03   2.9204e-01      8  UZ      1.5708e-01   3.1416e-02
  852  00:00:04   4.3815e-01      9  UZ      2.3562e-01   3.1416e-02
 1314  00:00:06   8.9927e-01     10  UZ      4.8381e-01   3.1416e-02
 1874  00:00:09   1.4597e+00     11  UZ      7.8540e-01   3.1416e-02
 2166  00:00:11   1.7516e+00     12  EP      9.4248e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:11   5.7280e-01     13  EP      3.1416e-01   3.1416e-02
  310  00:00:13   8.8215e-01     14  UZ      4.8381e-01   3.1416e-02
  860  00:00:17   1.4321e+00     15  UZ      7.8540e-01   3.1416e-02
 1147  00:00:20   1.7185e+00     16  EP      9.4248e-01   3.1416e-02
