
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:05   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:05   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   26  00:00:07   4.0558e-02      4  SN      1.8138e-02   3.1416e-02
   26  00:00:07   4.0558e-02      5  BP      1.8138e-02   3.1416e-02
   40  00:00:08   5.0222e-02      6  HB      2.7706e-02   3.1416e-02
   52  00:00:08   6.0157e-02      7  SN      3.6276e-02   3.1416e-02
   52  00:00:19   6.0157e-02      8  BP      3.6276e-02   3.1416e-02
   58  00:00:20   6.5397e-02      9  SN      4.0558e-02   3.1416e-02
   58  00:00:20   6.5397e-02     10  BP      4.0558e-02   3.1416e-02
   68  00:00:20   7.4785e-02     11  HB      4.7989e-02   3.1416e-02
   71  00:00:20   7.7213e-02     12  UZ      4.9875e-02   3.1416e-02
   77  00:00:21   8.3119e-02     13  SN      5.4414e-02   3.1416e-02
   77  00:00:21   8.3119e-02     14  BP      5.4414e-02   3.1416e-02
  112  00:00:22   1.1543e-01     15  UZ      7.8540e-02   3.1416e-02
  223  00:00:25   2.2435e-01     16  UZ      1.5708e-01   3.1416e-02
  334  00:00:32   3.3469e-01     17  UZ      2.3562e-01   3.1416e-02
  445  00:00:35   4.4540e-01     18  UZ      3.1416e-01   3.1416e-02
  556  00:00:37   5.5625e-01     19  EP      3.9270e-01   3.1416e-02
