
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.2435e-01      1  EP      1.5708e-01   3.1416e-02
    1  00:00:00   2.2435e-01      2  UZ      1.5708e-01   3.1416e-02
  112  00:00:00   1.1543e-01      3  UZ      7.8540e-02   3.1416e-02
  142  00:00:00   8.7047e-02      4  SN      5.7403e-02   3.1416e-02
  142  00:00:00   8.7047e-02      5  BP      5.7403e-02   3.1416e-02
  153  00:00:00   7.7796e-02      6  SN      5.0324e-02   3.1416e-02
  153  00:00:00   7.7736e-02      7  FP      5.0276e-02   3.1416e-02
  224  00:00:01   1.2733e-01      8  UZ      7.8540e-02   3.1416e-02
  367  00:00:01   2.6593e-01      9  UZ      1.5708e-01   3.1416e-02
  504  00:00:02   4.0198e-01     10  UZ      2.3562e-01   3.1416e-02
  932  00:00:04   8.2923e-01     11  UZ      4.8381e-01   3.1416e-02
 1180  00:00:06   1.0775e+00     12  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   2.2435e-01     13  EP      1.5708e-01   3.1416e-02
  112  00:00:06   3.3469e-01     14  UZ      2.3562e-01   3.1416e-02
  463  00:00:08   6.8492e-01     15  UZ      4.8381e-01   3.1416e-02
  667  00:00:09   8.8913e-01     16  EP      6.2832e-01   3.1416e-02
