
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.2435e-01      1  EP      1.5708e-01   3.1416e-02
    1  00:00:00   2.2435e-01      2  UZ      1.5708e-01   3.1416e-02
  112  00:00:00   1.1543e-01      3  UZ      7.8540e-02   3.1416e-02
  148  00:00:02   8.1057e-02      4  SN      5.2836e-02   3.1416e-02
  148  00:00:02   8.1057e-02      5  BP      5.2836e-02   3.1416e-02
  156  00:00:02   7.3723e-02      6  SN      4.7160e-02   3.1416e-02
  156  00:00:02   7.3695e-02      7  BP      4.7138e-02   3.1416e-02
  157  00:00:02   7.3642e-02      8  BP      4.7097e-02   3.1416e-02
  157  00:00:02   7.3585e-02      9  FP      4.7052e-02   3.1416e-02
  158  00:00:02   7.3773e-02     10  SN      4.7196e-02   3.1416e-02
  158  00:00:02   7.3798e-02     11  FP      4.7215e-02   3.1416e-02
  159  00:00:02   7.3798e-02     12  SN      4.7214e-02   3.1416e-02
  159  00:00:02   7.3792e-02     13  FP      4.7206e-02   3.1416e-02
  221  00:00:02   1.2172e-01     14  UZ      7.8540e-02   3.1416e-02
  344  00:00:03   2.4239e-01     15  UZ      1.5708e-01   3.1416e-02
  466  00:00:04   3.6331e-01     16  UZ      2.3562e-01   3.1416e-02
  795  00:00:08   6.9240e-01     17  UZ      4.4925e-01   3.1416e-02
  898  00:00:08   7.9482e-01     18  UZ      5.1572e-01   3.1416e-02
 1071  00:00:10   9.6831e-01     19  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:10   2.2435e-01     20  EP      1.5708e-01   3.1416e-02
  112  00:00:11   3.3469e-01     21  UZ      2.3562e-01   3.1416e-02
  414  00:00:12   6.3611e-01     22  UZ      4.4925e-01   3.1416e-02
  508  00:00:13   7.3002e-01     23  UZ      5.1572e-01   3.1416e-02
  667  00:00:14   8.8913e-01     24  EP      6.2832e-01   3.1416e-02
