
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   31  00:00:00   4.3942e-02      4  SN      2.1725e-02   3.1416e-02
   31  00:00:00   4.3942e-02      5  BP      2.1725e-02   3.1416e-02
   32  00:00:00   4.4710e-02      6  SN      2.2495e-02   3.1416e-02
   32  00:00:00   4.4710e-02      7  BP      2.2495e-02   3.1416e-02
   49  00:00:00   5.7428e-02      8  SN      3.3992e-02   3.1416e-02
   49  00:00:00   5.7428e-02      9  BP      3.3992e-02   3.1416e-02
   54  00:00:00   6.2202e-02     10  SN      3.7961e-02   3.1416e-02
   54  00:00:00   6.2202e-02     11  BP      3.7961e-02   3.1416e-02
   67  00:00:00   7.3465e-02     12  SN      4.6958e-02   3.1416e-02
   67  00:00:01   7.3465e-02     13  BP      4.6958e-02   3.1416e-02
   70  00:00:01   7.6089e-02     14  SN      4.9003e-02   3.1416e-02
   70  00:00:01   7.6089e-02     15  BP      4.9003e-02   3.1416e-02
  112  00:00:01   1.1543e-01     16  UZ      7.8540e-02   3.1416e-02
  223  00:00:01   2.2435e-01     17  UZ      1.5708e-01   3.1416e-02
  334  00:00:02   3.3469e-01     18  UZ      2.3562e-01   3.1416e-02
  445  00:00:03   4.4540e-01     19  UZ      3.1416e-01   3.1416e-02
  556  00:00:03   5.5625e-01     20  EP      3.9270e-01   3.1416e-02
